,id,foreign,name,lat,long
160,3201,32,KABUPATEN BOGOR,-6.6,106.8
161,3202,32,KABUPATEN SUKABUMI,-6.92405,106.922203
162,3203,32,KABUPATEN CIANJUR,-6.8172531,107.13072890000001
163,3204,32,KABUPATEN BANDUNG,-6.9147444,107.6098111
164,3205,32,KABUPATEN GARUT,-7.227906,107.908699
165,3206,32,KABUPATEN TASIKMALAYA,-7.327953999999999,108.214104
166,3207,32,KABUPATEN CIAMIS,-7.3333333,108.35
167,3208,32,KABUPATEN KUNINGAN,-6.9833333,108.48333329999998
168,3209,32,KABUPATEN CIREBON,-6.715534,108.564003
169,3210,32,KABUPATEN MAJALENGKA,-6.8531026,108.22588970000001
170,3211,32,KABUPATEN SUMEDANG,0.6095949,110.0330554
171,3212,32,KABUPATEN INDRAMAYU,-6.336315,108.32510400000001
172,3213,32,KABUPATEN SUBANG,-6.569361,107.752403
173,3214,32,KABUPATEN PURWAKARTA,-6.538680599999999,107.4499404
174,3215,32,KABUPATEN KARAWANG,-6.3227303,107.3375791
175,3216,32,KABUPATEN BEKASI,-6.2333333,107.0
176,3217,32,KABUPATEN BANDUNG BARAT,-6.8937121,107.4321959
177,3218,32,KABUPATEN PANGANDARAN,-7.6151,108.4988
178,3271,32,KOTA BOGOR,-6.6,106.8
179,3272,32,KOTA SUKABUMI,-6.92405,106.922203
180,3273,32,KOTA BANDUNG,-6.9147444,107.6098111
181,3274,32,KOTA CIREBON,-6.715534,108.564003
182,3275,32,KOTA BEKASI,-6.2333333,107.0
183,3276,32,KOTA DEPOK,-6.39,106.83
184,3277,32,KOTA CIMAHI,-6.8802389999999995,107.5355
185,3278,32,KOTA TASIKMALAYA,-7.327953999999999,108.214104
186,3279,32,KOTA BANJAR,-7.366666700000001,108.53333329999998
